 Time =     0.00000 a.u.     0.0000000 fs	 X=   0.0000000000 Y=   1.9482425909 Z=   0.0000000000 Tot=   1.9482425909
 Time =     0.00000 a.u.     0.0000000 fs	 X=   0.0000000000 Y=   1.9482425909 Z=  -0.0000000000 Tot=   1.9482425909
 Time =     0.05000 a.u.     0.0012094 fs	 X=  -0.0000030580 Y=   1.9482425908 Z=  -0.0000000000 Tot=   1.9482425908
 Time =     0.10000 a.u.     0.0024189 fs	 X=  -0.0000084682 Y=   1.9482425907 Z=  -0.0000000000 Tot=   1.9482425907
 Time =     0.15000 a.u.     0.0036283 fs	 X=  -0.0000135012 Y=   1.9482425904 Z=  -0.0000000000 Tot=   1.9482425904
 Time =     0.20000 a.u.     0.0048378 fs	 X=  -0.0000182568 Y=   1.9482425900 Z=  -0.0000000000 Tot=   1.9482425901
 Time =     0.25000 a.u.     0.0060472 fs	 X=  -0.0000228773 Y=   1.9482425897 Z=  -0.0000000000 Tot=   1.9482425898
 Time =     0.30000 a.u.     0.0072567 fs	 X=  -0.0000275793 Y=   1.9482425892 Z=  -0.0000000000 Tot=   1.9482425894
 Time =     0.35000 a.u.     0.0084661 fs	 X=  -0.0000321262 Y=   1.9482425886 Z=  -0.0000000000 Tot=   1.9482425889
 Time =     0.40000 a.u.     0.0096755 fs	 X=  -0.0000363707 Y=   1.9482425880 Z=   0.0000000000 Tot=   1.9482425883
 Time =     0.45000 a.u.     0.0108850 fs	 X=  -0.0000399313 Y=   1.9482425874 Z=  -0.0000000000 Tot=   1.9482425878
 Time =     0.50000 a.u.     0.0120944 fs	 X=  -0.0000430205 Y=   1.9482425867 Z=   0.0000000000 Tot=   1.9482425872
 Time =     0.55000 a.u.     0.0133039 fs	 X=  -0.0000456532 Y=   1.9482425862 Z=   0.0000000000 Tot=   1.9482425867
 Time =     0.60000 a.u.     0.0145133 fs	 X=  -0.0000482530 Y=   1.9482425856 Z=   0.0000000000 Tot=   1.9482425862
 Time =     0.65000 a.u.     0.0157227 fs	 X=  -0.0000505853 Y=   1.9482425851 Z=   0.0000000000 Tot=   1.9482425857
 Time =     0.70000 a.u.     0.0169322 fs	 X=  -0.0000526926 Y=   1.9482425846 Z=  -0.0000000000 Tot=   1.9482425853
 Time =     0.75000 a.u.     0.0181416 fs	 X=  -0.0000541292 Y=   1.9482425841 Z=   0.0000000000 Tot=   1.9482425849
 Time =     0.80000 a.u.     0.0193511 fs	 X=  -0.0000551529 Y=   1.9482425838 Z=  -0.0000000000 Tot=   1.9482425846
 Time =     0.85000 a.u.     0.0205605 fs	 X=  -0.0000557070 Y=   1.9482425836 Z=   0.0000000000 Tot=   1.9482425844
 Time =     0.90000 a.u.     0.0217700 fs	 X=  -0.0000563064 Y=   1.9482425835 Z=  -0.0000000000 Tot=   1.9482425843
 Time =     0.95000 a.u.     0.0229794 fs	 X=  -0.0000567797 Y=   1.9482425834 Z=   0.0000000000 Tot=   1.9482425842
 Time =     1.00000 a.u.     0.0241888 fs	 X=  -0.0000572759 Y=   1.9482425834 Z=  -0.0000000000 Tot=   1.9482425843
 Time =     1.05000 a.u.     0.0253983 fs	 X=  -0.0000573619 Y=   1.9482425835 Z=   0.0000000000 Tot=   1.9482425844
 Time =     1.10000 a.u.     0.0266077 fs	 X=  -0.0000571720 Y=   1.9482425837 Z=   0.0000000000 Tot=   1.9482425846
 Time =     1.15000 a.u.     0.0278172 fs	 X=  -0.0000568227 Y=   1.9482425840 Z=   0.0000000000 Tot=   1.9482425849
 Time =     1.20000 a.u.     0.0290266 fs	 X=  -0.0000564940 Y=   1.9482425844 Z=   0.0000000000 Tot=   1.9482425852
 Time =     1.25000 a.u.     0.0302361 fs	 X=  -0.0000563693 Y=   1.9482425849 Z=   0.0000000000 Tot=   1.9482425857
 Time =     1.30000 a.u.     0.0314455 fs	 X=  -0.0000563302 Y=   1.9482425853 Z=   0.0000000000 Tot=   1.9482425861
 Time =     1.35000 a.u.     0.0326549 fs	 X=  -0.0000562800 Y=   1.9482425858 Z=   0.0000000000 Tot=   1.9482425866
 Time =     1.40000 a.u.     0.0338644 fs	 X=  -0.0000560249 Y=   1.9482425863 Z=   0.0000000000 Tot=   1.9482425871
 Time =     1.45000 a.u.     0.0350738 fs	 X=  -0.0000557099 Y=   1.9482425868 Z=   0.0000000000 Tot=   1.9482425876
 Time =     1.50000 a.u.     0.0362833 fs	 X=  -0.0000553970 Y=   1.9482425874 Z=   0.0000000000 Tot=   1.9482425882
 Time =     1.55000 a.u.     0.0374927 fs	 X=  -0.0000553111 Y=   1.9482425879 Z=  -0.0000000000 Tot=   1.9482425887
 Time =     1.60000 a.u.     0.0387021 fs	 X=  -0.0000553236 Y=   1.9482425884 Z=   0.0000000000 Tot=   1.9482425892
 Time =     1.65000 a.u.     0.0399116 fs	 X=  -0.0000553845 Y=   1.9482425888 Z=  -0.0000000000 Tot=   1.9482425896
 Time =     1.70000 a.u.     0.0411210 fs	 X=  -0.0000552308 Y=   1.9482425892 Z=  -0.0000000000 Tot=   1.9482425899
 Time =     1.75000 a.u.     0.0423305 fs	 X=  -0.0000549495 Y=   1.9482425895 Z=  -0.0000000000 Tot=   1.9482425903
